,0
0,0.2
1,0.06666666666666667
2,0.13333333333333333
3,0.16666666666666666
4,0.21666666666666667
5,0.16666666666666666
6,0.16666666666666666
7,0.13333333333333333
8,0.11666666666666667
9,0.16666666666666666
10,0.18333333333333332
11,0.16666666666666666
12,0.16666666666666666
13,0.16666666666666666
14,0.13333333333333333
15,0.15
16,0.21666666666666667
17,0.21666666666666667
18,0.18333333333333332
19,0.21666666666666667
20,0.21666666666666667
21,0.2
22,0.15
23,0.18333333333333332
24,0.18333333333333332
25,0.21666666666666667
26,0.13333333333333333
27,0.16666666666666666
28,0.16666666666666666
29,0.16666666666666666
30,0.2
31,0.16666666666666666
32,0.23333333333333334
33,0.18333333333333332
34,0.15
35,0.18333333333333332
36,0.21666666666666667
37,0.16666666666666666
38,0.2
39,0.16666666666666666
40,0.18333333333333332
41,0.18333333333333332
42,0.16666666666666666
43,0.16666666666666666
44,0.2
45,0.16666666666666666
46,0.16666666666666666
47,0.16666666666666666
48,0.2
49,0.16666666666666666
50,0.2
51,0.2
52,0.2
53,0.2
54,0.18333333333333332
55,0.2
56,0.2
57,0.2
58,0.2
59,0.2
60,0.18333333333333332
61,0.18333333333333332
62,0.2
63,0.18333333333333332
64,0.18333333333333332
65,0.2
66,0.2
67,0.2
68,0.2
69,0.2
70,0.2
71,0.21666666666666667
72,0.2
73,0.2
74,0.2
75,0.21666666666666667
76,0.21666666666666667
77,0.21666666666666667
78,0.21666666666666667
79,0.2
80,0.2
81,0.2
82,0.2
83,0.21666666666666667
84,0.2
85,0.2
86,0.18333333333333332
87,0.2
88,0.2
89,0.2
90,0.18333333333333332
91,0.18333333333333332
92,0.18333333333333332
93,0.2
94,0.2
95,0.18333333333333332
96,0.2
97,0.2
98,0.2
99,0.18333333333333332
100,0.2
101,0.2
102,0.21666666666666667
103,0.2
104,0.2
105,0.2
106,0.18333333333333332
107,0.2
108,0.2
109,0.18333333333333332
110,0.2
111,0.2
112,0.2
113,0.2
114,0.2
115,0.18333333333333332
116,0.2
117,0.21666666666666667
118,0.21666666666666667
119,0.21666666666666667
120,0.21666666666666667
121,0.2
122,0.2
123,0.2
124,0.18333333333333332
125,0.18333333333333332
126,0.21666666666666667
127,0.21666666666666667
128,0.2
129,0.18333333333333332
130,0.21666666666666667
131,0.2
132,0.21666666666666667
133,0.2
134,0.2
135,0.2
136,0.2
137,0.2
138,0.2
139,0.2
